Configuration	pinset
STM32CubeMX 	4.10.0
Date	05/09/2016
MCU	STM32F103C8Tx



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	IN4	ADC1_IN4	PA4
RCC	Crystal/Ceramic Resonator	RCC_OSC_IN	PD0-OSC_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC_OUT	PD1-OSC_OUT
SPI1	Full-Duplex Master	SPI1_MISO	PA6
SPI1	Full-Duplex Master	SPI1_MOSI	PA7
SPI1	Full-Duplex Master	SPI1_SCK	PA5
SYS	Serial-Wire	SYS_JTCK-SWCLK	PA14
SYS	Serial-Wire	SYS_JTMS-SWDIO	PA13
TIM2	XOR ON / Hall Sensor Mode	TIM2_CH1	PA0-WKUP
TIM2	XOR ON / Hall Sensor Mode	TIM2_CH2	PA1
TIM2	XOR ON / Hall Sensor Mode	TIM2_CH3	PA2
USART1	Asynchronous	USART1_RX	PA10
USART1	Asynchronous	USART1_TX	PA9



Pin Nb	PINs	FUNCTIONs	LABELs
5	PD0-OSC_IN	RCC_OSC_IN	
6	PD1-OSC_OUT	RCC_OSC_OUT	
10	PA0-WKUP	TIM2_CH1	PWMA
11	PA1	TIM2_CH2	PWMB
12	PA2	TIM2_CH3	PWMC
13	PA3*	TIM2_CH4	PWMD
14	PA4	ADC1_IN4	BAT_CHECK
15	PA5	SPI1_SCK	
16	PA6	SPI1_MISO	
17	PA7	SPI1_MOSI	
18	PB0	GPIO_Output	SCL
19	PB1	GPIO_Output	SDA
20	PB2	GPIO_Output	M_DRDY
22	PB11	GPIO_Output	G_INT
25	PB12	GPIO_Output	LED1
26	PB13	GPIO_Output	LED2
30	PA9	USART1_TX	
31	PA10	USART1_RX	
34	PA13	SYS_JTMS-SWDIO	SWDIO
37	PA14	SYS_JTCK-SWCLK	SWCLK
40	PB4	GPIO_Output	CSN
41	PB5	GPIO_Output	CE
42	PB6	GPIO_Output	MOSI
43	PB7	GPIO_Output	SCK
45	PB8	GPIO_Output	NRF_IRQ
46	PB9	GPIO_Output	MISO
