"Bill of Material for "
"On 2015-9-25 at 23:56:19"

"Comment","Pattern","Quantity","Components"

"1n5819","DO-214AC - Diode","1","D1","Diode_P6KE"
"662K","SOT23","1","U2",""
"Cap Pol1","CAP[1206]","2","C1, C2","Capacitor"
"Cap","CAP[0805]","8","C3, C4, C5, C7, C9, C10, C11, C12","Capacitor"
"Cap","CAP[1206]","2","C6, C8","Polarized Capacitor (Radial)"
"CS3692","SOT23-6","1","U3","Generic Phase Locked Loop"
"GY-88模块","MPU-6050","1","U4",""
"Header 2","H2.54-1X2","5","P1, P2, P3, P8, P9","Header, 2-Pin"
"Inductor","Inductor_T10uH","1","L1",""
"LED2","3.2X1.6X1.1","3","PWR1, PWR2, PWR3","Typical RED, GREEN, YELLOW, AMBER GaAs LED"
"MOSFET-N","SOT23","4","Q1, Q2, Q3, Q4","N-Channel MOSFET"
"NRF2401","NRF(2401)模块","1","P4","Header, 4-Pin, Dual row"
"Res1","RES[0805]","12","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12","Resistor"
"SIP","H2.54-1X4","1","P5","Header, 4-Pin"
"STM32F103C8T6","LQFP-48","1","U1","STM32 ARM-based 32-bit MCU with 64 Kbytes Flash, 48-pin LQFP, Industrial Temperature"
"XTAL","XTAL","1","Y1","Crystal Oscillator"
"串口","H2.54-1X4","1","P6","Header, 4-Pin"
"遥控接收PWM信号","H2.54-1X4","1","P7","Header, 4-Pin"
